Provinsi,Laki-laki (L) - Negeri,Laki-laki (L) - Swasta,Laki-laki (L) - Subjml,Perempuan (P) - Negeri,Perempuan (P) - Swasta,Perempuan (P) - Subjml,Laki-laki dan Perempuan - Negeri,Laki-laki dan Perempuan - Swasta,Laki-laki dan Perempuan - Jumlah
Prov. D.K.I. Jakarta,356,100,456,339,74,413,695,174,869
Prov. Jawa Barat,2732,327,3059,2348,268,2616,5080,595,5675
Prov. Jawa Tengah,1204,126,1330,962,107,1069,2166,233,2399
Prov. D.I. Yogyakarta,22,20,42,21,12,33,43,32,75
Prov. Jawa Timur,1408,422,1830,1171,326,1497,2579,748,3327
Prov. Aceh,417,26,443,429,33,462,846,59,905
Prov. Sumatera Utara,1910,453,2363,1599,428,2027,3509,881,4390
Prov. Sumatera Barat,481,45,526,300,32,332,781,77,858
Prov. Riau,630,149,779,466,143,609,1096,292,1388
Prov. Jambi,408,30,438,361,36,397,769,66,835
Prov. Sumatera Selatan,1039,82,1121,799,56,855,1838,138,1976
Prov. Lampung,394,60,454,316,63,379,710,123,833
Prov. Kalimantan Barat,713,68,781,489,54,543,1202,122,1324
Prov. Kalimantan Tengah,387,24,411,245,19,264,632,43,675
Prov. Kalimantan Selatan,270,22,292,222,18,240,492,40,532
Prov. Kalimantan Timur,333,43,376,254,39,293,587,82,669
Prov. Sulawesi Utara,169,94,263,104,68,172,273,162,435
Prov. Sulawesi Tengah,573,34,607,393,33,426,966,67,1033
Prov. Sulawesi Selatan,845,47,892,685,36,721,1530,83,1613
Prov. Sulawesi Tenggara,399,16,415,349,20,369,748,36,784
Prov. Maluku,399,198,597,317,162,479,716,360,1076
Prov. Bali,73,13,86,81,12,93,154,25,179
Prov. Nusa Tenggara Barat,591,82,673,498,64,562,1089,146,1235
Prov. Nusa Tenggara Timur,921,648,1569,756,446,1202,1677,1094,2771
Prov. Papua,209,142,351,185,115,300,394,257,651
Prov. Bengkulu,188,27,215,159,16,175,347,43,390
Prov. Maluku Utara,286,34,320,281,29,310,567,63,630
Prov. Banten,838,96,934,746,99,845,1584,195,1779
Prov. Kepulauan Bangka Belitung,201,8,209,112,11,123,313,19,332
Prov. Gorontalo,279,7,286,164,8,172,443,15,458
Prov. Kepulauan Riau,158,52,210,123,52,175,281,104,385
Prov. Papua Barat,156,89,245,145,84,229,301,173,474
Prov. Sulawesi Barat,248,35,283,195,33,228,443,68,511
Prov. Kalimantan Utara,92,9,101,77,10,87,169,19,188
Luar Negeri,45,4,49,36,4,40,81,8,89
Prov. Papua Tengah,243,351,594,227,285,512,470,636,1106
Prov. Papua Selatan,339,184,523,241,172,413,580,356,936
Prov. Papua Pegunungan,413,130,543,295,90,385,708,220,928
Prov. Papua Barat Daya,134,61,195,88,51,139,222,112,334
